Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BZ1","LET9032ES-03L","MagneticBuzzer_LET9032ES-03L-2.7-16-R",69.0360,22.2260,90.0000,bottom
"C1","100n","C_0805_2012Metric",82.9860,46.6760,-90.0000,bottom
"C2","100n","C_0805_2012Metric",88.6860,43.3010,-90.0000,bottom
"C3","100n","C_0805_2012Metric",96.7860,47.6760,-90.0000,bottom
"C4","100n","C_0805_2012Metric",100.1860,55.5760,90.0000,bottom
"C5","1n","C_0805_2012Metric",124.4860,71.0760,180.0000,bottom
"C6","100n","C_0805_2012Metric",80.2860,32.9260,0.0000,bottom
"C7","4u7","C_0805_2012Metric",80.2860,35.0260,0.0000,bottom
"C8","100n","C_0805_2012Metric",82.9860,43.1760,90.0000,bottom
"C9","15p","C_0805_2012Metric",48.0860,43.6260,45.0000,bottom
"C10","100n","C_0805_2012Metric",47.3260,60.8760,-90.0000,bottom
"C11","10u","C_0805_2012Metric",28.1500,44.8760,180.0000,bottom
"C12","4u7","C_0805_2012Metric",52.8360,55.8260,0.0000,bottom
"C13","100n","C_0805_2012Metric",49.3610,60.8760,-90.0000,bottom
"C14","15p","C_0805_2012Metric",48.5360,39.0260,-45.0000,bottom
"C15","100n","C_0805_2012Metric",28.1500,42.8260,180.0000,bottom
"C16","100n","C_0805_2012Metric",19.4860,5.1297,90.0000,bottom
"C17","100n","C_0805_2012Metric",41.3860,21.5060,180.0000,bottom
"C18","100n","C_0805_2012Metric",27.4860,6.5797,-90.0000,bottom
"C19","1u","C_0805_2012Metric",86.6860,43.6510,-90.0000,bottom
"C20","100n","C_0805_2012Metric",35.4860,25.9060,90.0000,bottom
"C21","10u","C_0805_2012Metric",32.9360,60.5160,0.0000,bottom
"C22","10u","C_0805_2012Metric",97.0164,57.6290,0.0000,bottom
"C23","100n","C_0805_2012Metric",97.0164,55.6260,0.0000,bottom
"C24","1u","C_0805_2012Metric",91.0860,66.2260,90.0000,bottom
"C25","100n","C_0805_2012Metric",82.6400,58.6196,-90.0000,bottom
"C26","100n","C_0805_2012Metric",83.8360,70.0260,0.0000,bottom
"C27","47n","C_0805_2012Metric",96.0860,59.8010,180.0000,bottom
"C28","10u","C_0805_2012Metric",95.9500,67.0000,180.0000,bottom
"C29","100n","C_0805_2012Metric",82.2860,72.8260,90.0000,bottom
"C30","100n","C_0805_2012Metric",85.3860,72.8260,90.0000,bottom
"C31","1u","C_0805_2012Metric",80.9860,64.3760,90.0000,bottom
"C32","22u","C_0805_2012Metric",99.5360,67.0260,0.0000,bottom
"C33","4u7","C_0805_2012Metric",93.1048,61.1596,-90.0000,bottom
"C34","3n3","C_0805_2012Metric",84.7860,58.6060,-90.0000,bottom
"C35","100n","C_0805_2012Metric",121.7360,56.9510,180.0000,bottom
"C36","22u","C_0805_2012Metric",67.7360,72.9160,90.0000,bottom
"C37","22u","C_0805_2012Metric",48.2360,72.9610,90.0000,bottom
"C38","22u","C_0805_2012Metric",27.8360,72.8685,90.0000,bottom
"C39","47u","C_0805_2012Metric",61.7360,74.2160,90.0000,bottom
"C40","47u","C_0805_2012Metric",42.1860,74.0110,90.0000,bottom
"C41","47u","C_0805_2012Metric",21.7360,74.0560,90.0000,bottom
"C42","10u","C_0805_2012Metric",60.5360,70.7660,-90.0000,bottom
"C43","10u","C_0805_2012Metric",40.9860,70.5610,-90.0000,bottom
"C44","10u","C_0805_2012Metric",20.2360,70.6185,-90.0000,bottom
"C45","1u","C_0805_2012Metric",83.4860,29.5760,180.0000,bottom
"C46","1n","C_0805_2012Metric",84.4860,35.0260,180.0000,bottom
"C47","10u","C_0805_2012Metric",94.2110,35.6260,180.0000,bottom
"C48","100n","C_0805_2012Metric",94.2360,33.6010,180.0000,bottom
"D6","BAS70-04","SOT-23",29.6860,55.2760,90.0000,bottom
"D7","ORANGE","SMD_LED_RIGHT_KINGBRIGHT_1605",134.5860,52.7010,90.0000,bottom
"D8","GREEN","SMD_LED_RIGHT_KINGBRIGHT_1605",134.5860,58.2260,90.0000,bottom
"F1","Fuse","Drzak_2410",40.8860,9.1160,-90.0000,bottom
"F2","Fuse","Drzak_2410",60.1860,9.0260,-90.0000,bottom
"F3","Fuse","Drzak_2410",81.8860,9.0160,-90.0000,bottom
"F4","Fuse","Drzak_2410",101.2860,9.1160,-90.0000,bottom
"F5","Fuse","Drzak_2410",111.5860,9.0160,-90.0000,bottom
"FID1","Fiducial","Fiducial_1mm_Mask2mm",29.2860,61.9260,180.0000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",49.2860,15.9260,180.0000,bottom
"FID3","Fiducial","Fiducial_1mm_Mask2mm",101.4860,72.7260,180.0000,bottom
"FID4","Fiducial","Fiducial_1mm_Mask2mm",122.2860,11.9260,180.0000,bottom
"J1","USBC_USB4105-GF-A","USBC GCT_USB4105-GF-A",133.9985,68.2560,-90.0000,bottom
"J2","SD_Card-FPS009-4200-0","FPS009-4200-0",133.0610,32.8310,0.0000,bottom
"J3","HEADER_2x03","SMD_2x03",48.4360,52.9760,0.0000,bottom
"L1","1uH - DFE252012P-1R0M=P2","L_1008_2520Metric",100.6860,63.7260,90.0000,bottom
"L2","1uH - DFE252012P-1R0M=P2","L_1008_2520Metric",64.7360,73.8660,180.0000,bottom
"L3","1uH - DFE252012P-1R0M=P2","L_1008_2520Metric",45.1860,73.7110,180.0000,bottom
"L4","1uH - DFE252012P-1R0M=P2","L_1008_2520Metric",24.8110,73.6685,180.0000,bottom
"L5","100uH","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.1360,35.0260,0.0000,bottom
"Q1","BC817-25","SOT-23-3",81.5860,22.0260,90.0000,bottom
"Q2","BC817-25","SOT-23-3",88.5193,22.0260,90.0000,bottom
"Q3","BC817-25","SOT-23-3",85.0527,22.0260,90.0000,bottom
"Q4","BC817-25","SOT-23-3",91.9860,22.0260,90.0000,bottom
"Q5","BC817-25","SOT-23-3",106.7610,76.0885,90.0000,bottom
"Q6","BC817-25","SOT-23-3",110.2610,76.0635,90.0000,bottom
"Q7","BSS83P","SOT-23",79.5360,60.3260,180.0000,bottom
"R1","6.19k","R_0805_2012Metric",94.7860,45.7385,-90.0000,bottom
"R2","5k1","R_0805_2012Metric",127.4485,62.0760,0.0000,bottom
"R3","R","R_0805_2012Metric",98.4985,52.9260,180.0000,bottom
"R4","R","R_0805_2012Metric",95.0985,52.9260,180.0000,bottom
"R5","5k1","R_0805_2012Metric",124.4860,73.0260,0.0000,bottom
"R6","100R","R_0805_2012Metric",94.1360,42.6260,180.0000,bottom
"R7","100R","R_0805_2012Metric",94.1360,40.6260,180.0000,bottom
"R8","100R","R_0805_2012Metric",94.2360,37.7260,0.0000,bottom
"R9","100R","R_0805_2012Metric",94.1860,30.6760,0.0000,bottom
"R10","100R","R_0805_2012Metric",94.1860,28.7260,0.0000,bottom
"R11","100R","R_0805_2012Metric",94.1860,26.7560,0.0000,bottom
"R12","10k","R_0805_2012Metric",67.1860,59.0760,-90.0000,bottom
"R13","1k","R_0805_2012Metric",101.5360,58.9810,-90.0000,bottom
"R14","1k","R_0805_2012Metric",103.5860,59.0135,90.0000,bottom
"R15","1k","R_0805_2012Metric",75.5860,33.6000,90.0000,bottom
"R17","1k","R_0805_2012Metric",77.5860,33.6000,90.0000,bottom
"R18","10k","R_0805_2012Metric",29.7735,50.3260,180.0000,bottom
"R19","1k","R_0805_2012Metric",82.8193,18.1260,90.0000,bottom
"R20","1k","R_0805_2012Metric",90.6860,18.1260,90.0000,bottom
"R21","1k","R_0805_2012Metric",67.8860,45.3560,90.0000,bottom
"R23","1k","R_0805_2012Metric",65.9360,45.3560,90.0000,bottom
"R24","1k","R_0805_2012Metric",71.7860,43.0060,90.0000,bottom
"R25","1k","R_0805_2012Metric",73.7360,43.0060,90.0000,bottom
"R26","270R","R_0805_2012Metric",80.8527,18.1260,90.0000,bottom
"R27","270R","R_0805_2012Metric",88.7193,18.1260,90.0000,bottom
"R28","10k","R_0805_2012Metric",29.7735,48.3260,180.0000,bottom
"R29","5k1","R_0805_2012Metric",84.2735,38.7260,180.0000,bottom
"R30","1k","R_0805_2012Metric",69.8360,45.3560,90.0000,bottom
"R31","1k","R_0805_2012Metric",86.7527,18.1260,90.0000,bottom
"R32","1k","R_0805_2012Metric",92.6527,18.1260,90.0000,bottom
"R33","33R","R_0805_2012Metric",80.9360,44.8760,90.0000,bottom
"R34","33R","R_0805_2012Metric",78.9860,44.8760,90.0000,bottom
"R35","270R","R_0805_2012Metric",84.7860,18.1260,90.0000,bottom
"R36","1k","R_0805_2012Metric",52.2860,30.7260,-45.0000,bottom
"R37","1k","R_0805_2012Metric",51.5860,28.6260,-45.0000,bottom
"R38","100R","R_0805_2012Metric",54.3860,53.0760,-90.0000,bottom
"R39","10k","R_0805_2012Metric",58.9860,53.0260,-90.0000,bottom
"R40","10k","R_0805_2012Metric",52.0860,53.0760,-90.0000,bottom
"R41","100R","R_0805_2012Metric",47.9360,18.8260,0.0000,bottom
"R42","10k","R_0805_2012Metric",31.5360,33.1760,90.0000,bottom
"R43","10M","R_0805_2012Metric",32.9160,62.5460,0.0000,bottom
"R44","10k","R_0805_2012Metric",29.7485,52.3260,0.0000,bottom
"R45","10k","R_0805_2012Metric",56.7860,22.2260,180.0000,bottom
"R46","1k","R_0805_2012Metric",23.9860,36.3260,90.0000,bottom
"R47","1k","R_0805_2012Metric",25.9360,37.2260,90.0000,bottom
"R48","1k","R_0805_2012Metric",107.5110,72.2510,90.0000,bottom
"R49","1k","R_0805_2012Metric",111.4860,72.2260,90.0000,bottom
"R50","270R","R_0805_2012Metric",105.5860,72.2510,90.0000,bottom
"R51","270R","R_0805_2012Metric",109.5110,72.2260,90.0000,bottom
"R52","R","R_0805_2012Metric",94.2360,56.7260,-90.0000,bottom
"R53","510R","R_0805_2012Metric",78.1360,63.3760,0.0000,bottom
"R54","270R","R_0805_2012Metric",87.0860,58.6260,-90.0000,bottom
"R55","1k","R_0805_2012Metric",89.1678,58.6260,90.0000,bottom
"R56","2k49","R_0805_2012Metric",91.0220,62.6836,-90.0000,bottom
"R57","5k3","R_0805_2012Metric",93.1556,65.5792,90.0000,bottom
"R58","31k1","R_0805_2012Metric",76.4860,60.3510,-90.0000,bottom
"R59","100R","R_0805_2012Metric",82.7860,76.3260,-90.0000,bottom
"R60","100R","R_0805_2012Metric",84.7860,76.3260,-90.0000,bottom
"R61","0R01 75PPM","R_2512_6332Metric",83.8860,80.1260,0.0000,bottom
"R70","1k","R_0805_2012Metric",27.8360,69.3935,90.0000,bottom
"R71","1k","R_0805_2012Metric",67.7360,69.4035,90.0000,bottom
"R72","1k","R_0805_2012Metric",48.2360,69.4610,90.0000,bottom
"R73","1k","R_0805_2012Metric",50.4360,69.4485,90.0000,bottom
"R74","1k","R_0805_2012Metric",29.8360,69.3935,90.0000,bottom
"R75","511k","R_0805_2012Metric",62.5360,70.7660,-90.0000,bottom
"R76","91k","R_0805_2012Metric",62.5360,67.3660,-90.0000,bottom
"R77","511k","R_0805_2012Metric",42.9860,70.5610,-90.0000,bottom
"R78","91k","R_0805_2012Metric",42.9860,67.1110,-90.0000,bottom
"R79","806k","R_0805_2012Metric",22.2860,70.6185,-90.0000,bottom
"R80","91k","R_0805_2012Metric",22.2860,67.1935,-90.0000,bottom
"SW2","KMT031","KMT031 NGJ LHS C&K",34.8860,54.8510,0.0000,bottom
"SW4","KMT031","KMT031 NGJ LHS C&K",42.0860,54.8510,180.0000,bottom
"U1","MAX14502AETL+","QFN40P500X500X80-41N",90.1860,48.4760,0.0000,bottom
"U2","USBLC6-2SC6","SOT-23-6",124.8485,68.2260,0.0000,bottom
"U3","FT260Q-T","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",77.8860,39.8060,90.0000,bottom
"U4","PCA9541ABS/01","QFN-16-1EP_4x4mm_P0.65mm_EP2.15x2.15mm",64.7110,39.9810,180.0000,bottom
"U5","AT24CS64-SSHM","SOIC-8_3.9x4.9mm_P1.27mm",45.8860,24.1760,90.0000,bottom
"U6","SHT35-DIS","Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm",16.8848,5.1547,-90.0000,bottom
"U7","TMUX1574DYYR","SOT-23-16 THIN",54.6860,47.2260,-90.0000,bottom
"U8","ATMEGA1284P-AU","TQFP-44_10x10mm_P0.8mm",37.9110,42.6310,180.0000,bottom
"U9","MS561101BA03-50","LGA-8_3x5mm_P1.25mm",24.5847,5.8297,180.0000,bottom
"U10","PCF85263A","TSSOP-10_3x3mm_P0.5mm",39.4860,24.4060,0.0000,bottom
"U11","TCA4307","VSSOP-8_3.0x3.0mm_P0.65mm",28.6860,32.9260,90.0000,bottom
"U12","BQ34Z100","TSSOP-14_4.4x5mm_Pitch0.65mm",84.7860,65.0260,90.0000,bottom
"U13","BQ25628E","Texas_S-WQFN-HR-18",96.2010,63.3260,0.0000,bottom
"U14","SN74HC164D","TSSOP-14_4.4x5mm_P0.65mm",122.7860,52.1010,90.0000,bottom
"U15","TPS631000DRLR","SOT-583-8",64.8360,71.1160,-90.0000,bottom
"U16","TPS631000DRLR","SOT-583-8",45.2860,70.9610,-90.0000,bottom
"U17","TPS631000DRLR","SOT-583-8",24.8360,70.9185,-90.0000,bottom
"U18","TPS22965-Q1","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",85.5860,32.2260,90.0000,bottom
"Y1","19.2 MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",102.5360,53.6260,-90.0000,bottom
"Y2","8 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",50.1899,41.2542,-45.0000,bottom
"Y3","ABS07-120-32.768KHZ-T","ABS07",35.8360,21.9760,135.0000,bottom
